sentence,prompt,label,predicted_label
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?","Review: you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet . Sentiment: 0. Review: a giddy and provocative sexual romp that has something to say . Sentiment: 1. Review: it is dark , brooding and slow , and takes its central idea way too seriously . Sentiment: 0. Review: deep intelligence and a warm , enveloping affection breathe out of every frame . Sentiment: 1. Review: why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ? Sentiment:<mask>.",0,
